"","avg.exp","pct.exp","features.plot","id","avg.exp.scaled"
"Men10",5.6804428098593,8.69565217391304,"Men","10",-0.318959239489735
"Cpr49Ae10",2.59334618405083,3.26086956521739,"Cpr49Ae","10",0.0647945649481646
"CG4000610",1.17204955879157,5.43478260869565,"CG40006","10",-0.147285749979923
"Cys10",8.73926693121281,9.78260869565217,"Cys","10",-0.171397031786755
"CLIP-19010",7.85130233943633,15.2173913043478,"CLIP-190","10",-0.831785389345811
"DIP-alpha10",9.72247819791517,7.60869565217391,"DIP-alpha","10",-1.5190836055858
"CG595310",0.869662498989374,5.43478260869565,"CG5953","10",-0.791979655434288
"dally10",0.932028104842138,4.34782608695652,"dally","10",-0.671835591681377
"CG121310",2.16469405274954,3.26086956521739,"CG1213","10",-0.504329632369904
"Cip410",0.695160670589901,3.26086956521739,"Cip4","10",-1.0013338131547
"RapGAP110",1.95171685707355,8.69565217391304,"RapGAP1","10",-0.361164240149769
"apolpp11",418.907375539627,83.1168831168831,"apolpp","11",2.5
"GEFmeso11",1.21221782299762,6.49350649350649,"GEFmeso","11",-0.276816304719945
"CG3131311",12.9399468178955,12.987012987013,"CG31313","11",-0.102359395802759
"mgl11",3.82350984112886,9.09090909090909,"mgl","11",-0.210194365815489
"tyf11",2.54796993556548,10.3896103896104,"tyf","11",0.911965328429238
"dnc11",58.2462139260548,58.4415584415584,"dnc","11",1.71839191677474
"shi11",1.76630437093194,6.49350649350649,"shi","11",-0.279711698479548
"Prat211",3.44252106793669,7.79220779220779,"Prat2","11",0.380080621597438
"flw11",10.1807581244384,22.0779220779221,"flw","11",2.28601049973567
"Men11",7.46127457452129,12.987012987013,"Men","11",0.0586625724461539
"Cpr49Ae11",0.809305481763026,2.5974025974026,"Cpr49Ae","11",-0.315665741171403
"CG4000611",1.70113457425102,7.79220779220779,"CG40006","11",0.309418666764022
"Cys11",3.94930207826404,6.49350649350649,"Cys","11",-0.390305594064824
"CLIP-19011",36.4059805354734,49.3506493506493,"CLIP-190","11",1.57018043013369
"DIP-alpha11",58.4868858587581,28.5714285714286,"DIP-alpha","11",1.1704391433386
"CG595311",1.53472840588969,7.79220779220779,"CG5953","11",-0.36725615754288
"dally11",1.9710610642452,10.3896103896104,"dally","11",0.205233771578967
"CG121311",2.10604687368153,3.8961038961039,"CG1213","11",-0.524741636492094
"Cip411",1.8554544358579,9.09090909090909,"Cip4","11",-0.676292890334349
"RapGAP111",1.75563944491387,7.79220779220779,"RapGAP1","11",-0.379876232396847
